job_run_at,station_id_from,station_id_to,duration_in_seconds
2026-08-19 21:41:06.804167+00:00,2,2,0.0
2026-08-19 21:41:06.804167+00:00,2,3,706.81
2026-08-19 21:41:06.804167+00:00,2,4,464.75
2026-08-19 21:41:06.804167+00:00,2,5,1122.83
2026-08-19 21:41:06.804167+00:00,2,6,1089.67
2026-08-19 21:41:06.804167+00:00,2,7,525.81
2026-08-19 21:41:06.804167+00:00,2,8,675.62
2026-08-19 21:41:06.804167+00:00,2,9,839.42
2026-08-19 21:41:06.804167+00:00,2,12,271.12
2026-08-19 21:41:06.804167+00:00,2,13,953.01
2026-08-19 21:41:06.804167+00:00,2,14,1327.28
2026-08-19 21:41:06.804167+00:00,2,17,1124.91
2026-08-19 21:41:06.804167+00:00,2,21,1616.43
2026-08-19 21:41:06.804167+00:00,2,22,172.06
2026-08-19 21:41:06.804167+00:00,2,24,587.9
2026-08-19 21:41:06.804167+00:00,2,25,913.84
2026-08-19 21:41:06.804167+00:00,2,26,470.87
2026-08-19 21:41:06.804167+00:00,2,27,421.94
2026-08-19 21:41:06.804167+00:00,2,29,1411.29
2026-08-19 21:41:06.804167+00:00,2,32,597.93
2026-08-19 21:41:06.804167+00:00,2,33,549.31
2026-08-19 21:41:06.804167+00:00,2,35,156.07
2026-08-19 21:41:06.804167+00:00,2,36,397.15
2026-08-19 21:41:06.804167+00:00,2,38,262.48
2026-08-19 21:41:06.804167+00:00,2,41,1530.37
2026-08-19 21:41:06.804167+00:00,2,43,447.77
2026-08-19 21:41:06.804167+00:00,2,44,970.63
2026-08-19 21:41:06.804167+00:00,2,45,384.43
2026-08-19 21:41:06.804167+00:00,2,46,935.53
2026-08-19 21:41:06.804167+00:00,2,48,1091.62
2026-08-19 21:41:06.804167+00:00,2,49,1716.85
2026-08-19 21:41:06.804167+00:00,2,50,662.1
2026-08-19 21:41:06.804167+00:00,2,54,1031.88
2026-08-19 21:41:06.804167+00:00,2,56,1199.78
2026-08-19 21:41:06.804167+00:00,2,57,782.88
2026-08-19 21:41:06.804167+00:00,2,58,1482.81
2026-08-19 21:41:06.804167+00:00,2,59,783.1
2026-08-19 21:41:06.804167+00:00,2,60,373.39
2026-08-19 21:41:06.804167+00:00,2,61,3035.19
2026-08-19 21:41:06.804167+00:00,2,63,331.98
2026-08-19 21:41:06.804167+00:00,2,64,401.79
2026-08-19 21:41:06.804167+00:00,2,65,988.8
2026-08-19 21:41:06.804167+00:00,2,66,884.61
2026-08-19 21:41:06.804167+00:00,2,68,2524.48
2026-08-19 21:41:06.804167+00:00,2,69,674.19
2026-08-19 21:41:06.804167+00:00,2,70,1119.09
2026-08-19 21:41:06.804167+00:00,2,71,409.04
2026-08-19 21:41:06.804167+00:00,2,73,1136.4
2026-08-19 21:41:06.804167+00:00,2,74,1353.5
2026-08-19 21:41:06.804167+00:00,2,75,919.06
2026-08-19 21:41:06.804167+00:00,2,76,789.44
2026-08-19 21:41:06.804167+00:00,2,77,2934.96
2026-08-19 21:41:06.804167+00:00,2,79,750.25
2026-08-19 21:41:06.804167+00:00,2,80,1852.16
2026-08-19 21:41:06.804167+00:00,2,82,1285.9
2026-08-19 21:41:06.804167+00:00,2,83,515.78
2026-08-19 21:41:06.804167+00:00,2,85,760.32
2026-08-19 21:41:06.804167+00:00,2,86,1170.0
2026-08-19 21:41:06.804167+00:00,2,87,1586.21
2026-08-19 21:41:06.804167+00:00,3,2,726.29
2026-08-19 21:41:06.804167+00:00,3,3,0.0
2026-08-19 21:41:06.804167+00:00,3,4,298.42
2026-08-19 21:41:06.804167+00:00,3,5,1836.54
2026-08-19 21:41:06.804167+00:00,3,6,477.11
2026-08-19 21:41:06.804167+00:00,3,7,524.02
2026-08-19 21:41:06.804167+00:00,3,8,654.64
2026-08-19 21:41:06.804167+00:00,3,9,1309.48
2026-08-19 21:41:06.804167+00:00,3,12,892.76
2026-08-19 21:41:06.804167+00:00,3,13,933.6
2026-08-19 21:41:06.804167+00:00,3,14,1731.39
2026-08-19 21:41:06.804167+00:00,3,17,1261.23
2026-08-19 21:41:06.804167+00:00,3,21,1250.53
2026-08-19 21:41:06.804167+00:00,3,22,792.74
2026-08-19 21:41:06.804167+00:00,3,24,436.44
2026-08-19 21:41:06.804167+00:00,3,25,1380.16
2026-08-19 21:41:06.804167+00:00,3,26,422.51
2026-08-19 21:41:06.804167+00:00,3,27,781.9
2026-08-19 21:41:06.804167+00:00,3,29,1513.48
2026-08-19 21:41:06.804167+00:00,3,32,407.24
2026-08-19 21:41:06.804167+00:00,3,33,991.1
2026-08-19 21:41:06.804167+00:00,3,35,495.97
2026-08-19 21:41:06.804167+00:00,3,36,447.77
2026-08-19 21:41:06.804167+00:00,3,38,704.43
2026-08-19 21:41:06.804167+00:00,3,41,1164.47
2026-08-19 21:41:06.804167+00:00,3,43,1161.49
2026-08-19 21:41:06.804167+00:00,3,44,1684.34
2026-08-19 21:41:06.804167+00:00,3,45,724.0
2026-08-19 21:41:06.804167+00:00,3,46,340.64
2026-08-19 21:41:06.804167+00:00,3,48,570.05
2026-08-19 21:41:06.804167+00:00,3,49,1357.09
2026-08-19 21:41:06.804167+00:00,3,50,1215.48
2026-08-19 21:41:06.804167+00:00,3,54,1366.64
2026-08-19 21:41:06.804167+00:00,3,56,1652.39
2026-08-19 21:41:06.804167+00:00,3,57,80.3
2026-08-19 21:41:06.804167+00:00,3,58,1900.85
2026-08-19 21:41:06.804167+00:00,3,59,337.62
2026-08-19 21:41:06.804167+00:00,3,60,424.7
2026-08-19 21:41:06.804167+00:00,3,61,3065.8
2026-08-19 21:41:06.804167+00:00,3,63,556.39
2026-08-19 21:41:06.804167+00:00,3,64,965.18
2026-08-19 21:41:06.804167+00:00,3,65,1455.12
2026-08-19 21:41:06.804167+00:00,3,66,1370.72
2026-08-19 21:41:06.804167+00:00,3,68,3238.2
2026-08-19 21:41:06.804167+00:00,3,69,1115.98
2026-08-19 21:41:06.804167+00:00,3,70,1514.92
2026-08-19 21:41:06.804167+00:00,3,71,647.08
2026-08-19 21:41:06.804167+00:00,3,73,618.4
2026-08-19 21:41:06.804167+00:00,3,74,1539.58
2026-08-19 21:41:06.804167+00:00,3,75,749.08
2026-08-19 21:41:06.804167+00:00,3,76,775.32
2026-08-19 21:41:06.804167+00:00,3,77,3150.07
2026-08-19 21:41:06.804167+00:00,3,79,199.87
2026-08-19 21:41:06.804167+00:00,3,80,1492.41
2026-08-19 21:41:06.804167+00:00,3,82,1371.7
2026-08-19 21:41:06.804167+00:00,3,83,763.93
2026-08-19 21:41:06.804167+00:00,3,85,1210.69
2026-08-19 21:41:06.804167+00:00,3,86,810.25
2026-08-19 21:41:06.804167+00:00,3,87,1239.29
2026-08-19 21:41:06.804167+00:00,4,2,437.96
2026-08-19 21:41:06.804167+00:00,4,3,342.4
2026-08-19 21:41:06.804167+00:00,4,4,0.0
2026-08-19 21:41:06.804167+00:00,4,5,1548.21
2026-08-19 21:41:06.804167+00:00,4,6,725.25
2026-08-19 21:41:06.804167+00:00,4,7,469.0
2026-08-19 21:41:06.804167+00:00,4,8,635.43
2026-08-19 21:41:06.804167+00:00,4,9,1021.15
2026-08-19 21:41:06.804167+00:00,4,12,604.42
2026-08-19 21:41:06.804167+00:00,4,13,912.82
2026-08-19 21:41:06.804167+00:00,4,14,1443.05
2026-08-19 21:41:06.804167+00:00,4,17,1084.72
2026-08-19 21:41:06.804167+00:00,4,21,1576.49
2026-08-19 21:41:06.804167+00:00,4,22,504.41
2026-08-19 21:41:06.804167+00:00,4,24,517.36
2026-08-19 21:41:06.804167+00:00,4,25,1091.82
2026-08-19 21:41:06.804167+00:00,4,26,274.11
2026-08-19 21:41:06.804167+00:00,4,27,493.57
2026-08-19 21:41:06.804167+00:00,4,29,1381.41
2026-08-19 21:41:06.804167+00:00,4,32,267.54
2026-08-19 21:41:06.804167+00:00,4,33,702.76
2026-08-19 21:41:06.804167+00:00,4,35,207.63
2026-08-19 21:41:06.804167+00:00,4,36,159.43
2026-08-19 21:41:06.804167+00:00,4,38,416.1
2026-08-19 21:41:06.804167+00:00,4,41,1490.43
2026-08-19 21:41:06.804167+00:00,4,43,873.15
2026-08-19 21:41:06.804167+00:00,4,44,1396.0
2026-08-19 21:41:06.804167+00:00,4,45,435.66
2026-08-19 21:41:06.804167+00:00,4,46,575.33
2026-08-19 21:41:06.804167+00:00,4,48,818.19
2026-08-19 21:41:06.804167+00:00,4,49,1676.91
2026-08-19 21:41:06.804167+00:00,4,50,927.15
2026-08-19 21:41:06.804167+00:00,4,54,1078.3
2026-08-19 21:41:06.804167+00:00,4,56,1364.06
2026-08-19 21:41:06.804167+00:00,4,57,418.46
2026-08-19 21:41:06.804167+00:00,4,58,1612.51
2026-08-19 21:41:06.804167+00:00,4,59,670.34
2026-08-19 21:41:06.804167+00:00,4,60,136.37
2026-08-19 21:41:06.804167+00:00,4,61,2961.36
2026-08-19 21:41:06.804167+00:00,4,63,268.05
2026-08-19 21:41:06.804167+00:00,4,64,676.85
2026-08-19 21:41:06.804167+00:00,4,65,1166.78
2026-08-19 21:41:06.804167+00:00,4,66,1082.39
2026-08-19 21:41:06.804167+00:00,4,68,2949.86
2026-08-19 21:41:06.804167+00:00,4,69,827.64
2026-08-19 21:41:06.804167+00:00,4,70,1226.58
2026-08-19 21:41:06.804167+00:00,4,71,358.74
2026-08-19 21:41:06.804167+00:00,4,73,866.54
2026-08-19 21:41:06.804167+00:00,4,74,1363.07
2026-08-19 21:41:06.804167+00:00,4,75,880.67
2026-08-19 21:41:06.804167+00:00,4,76,749.25
2026-08-19 21:41:06.804167+00:00,4,77,2861.73
2026-08-19 21:41:06.804167+00:00,4,79,376.14
2026-08-19 21:41:06.804167+00:00,4,80,1812.23
2026-08-19 21:41:06.804167+00:00,4,82,1245.71
2026-08-19 21:41:06.804167+00:00,4,83,475.59
2026-08-19 21:41:06.804167+00:00,4,85,922.35
2026-08-19 21:41:06.804167+00:00,4,86,1130.07
2026-08-19 21:41:06.804167+00:00,4,87,1555.22
2026-08-19 21:41:06.804167+00:00,5,2,1122.83
2026-08-19 21:41:06.804167+00:00,5,3,1829.5
2026-08-19 21:41:06.804167+00:00,5,4,1561.56
2026-08-19 21:41:06.804167+00:00,5,5,0.0
2026-08-19 21:41:06.804167+00:00,5,6,1948.7
2026-08-19 21:41:06.804167+00:00,5,7,1262.09
2026-08-19 21:41:06.804167+00:00,5,8,1147.7
2026-08-19 21:41:06.804167+00:00,5,9,453.64
2026-08-19 21:41:06.804167+00:00,5,12,900.29
2026-08-19 21:41:06.804167+00:00,5,13,947.71
2026-08-19 21:41:06.804167+00:00,5,14,171.13
2026-08-19 21:41:06.804167+00:00,5,17,733.02
2026-08-19 21:41:06.804167+00:00,5,21,1575.04
2026-08-19 21:41:06.804167+00:00,5,22,1118.1
2026-08-19 21:41:06.804167+00:00,5,24,1323.64
2026-08-19 21:41:06.804167+00:00,5,25,368.77
2026-08-19 21:41:06.804167+00:00,5,26,1593.55
2026-08-19 21:41:06.804167+00:00,5,27,904.62
2026-08-19 21:41:06.804167+00:00,5,29,910.74
2026-08-19 21:41:06.804167+00:00,5,32,1604.31
2026-08-19 21:41:06.804167+00:00,5,33,700.44
2026-08-19 21:41:06.804167+00:00,5,35,1244.62
2026-08-19 21:41:06.804167+00:00,5,36,1445.46
2026-08-19 21:41:06.804167+00:00,5,38,1168.17
2026-08-19 21:41:06.804167+00:00,5,41,1541.89
2026-08-19 21:41:06.804167+00:00,5,43,786.27
2026-08-19 21:41:06.804167+00:00,5,44,211.47
2026-08-19 21:41:06.804167+00:00,5,45,968.23
2026-08-19 21:41:06.804167+00:00,5,46,1710.65
2026-08-19 21:41:06.804167+00:00,5,48,2214.3
2026-08-19 21:41:06.804167+00:00,5,49,1379.49
2026-08-19 21:41:06.804167+00:00,5,50,547.07
2026-08-19 21:41:06.804167+00:00,5,54,531.33
2026-08-19 21:41:06.804167+00:00,5,56,348.74
2026-08-19 21:41:06.804167+00:00,5,57,1591.32
2026-08-19 21:41:06.804167+00:00,5,58,459.2
2026-08-19 21:41:06.804167+00:00,5,59,1513.64
2026-08-19 21:41:06.804167+00:00,5,60,1500.72
2026-08-19 21:41:06.804167+00:00,5,61,1963.38
2026-08-19 21:41:06.804167+00:00,5,63,1380.28
2026-08-19 21:41:06.804167+00:00,5,64,741.27
2026-08-19 21:41:06.804167+00:00,5,65,256.13
2026-08-19 21:41:06.804167+00:00,5,66,482.12
2026-08-19 21:41:06.804167+00:00,5,68,1792.63
2026-08-19 21:41:06.804167+00:00,5,69,580.61
2026-08-19 21:41:06.804167+00:00,5,70,453.2
2026-08-19 21:41:06.804167+00:00,5,71,1314.73
2026-08-19 21:41:06.804167+00:00,5,73,1868.97
2026-08-19 21:41:06.804167+00:00,5,74,828.16
2026-08-19 21:41:06.804167+00:00,5,75,1140.91
2026-08-19 21:41:06.804167+00:00,5,76,1011.29
2026-08-19 21:41:06.804167+00:00,5,77,1883.48
2026-08-19 21:41:06.804167+00:00,5,79,1872.93
2026-08-19 21:41:06.804167+00:00,5,80,1464.59
2026-08-19 21:41:06.804167+00:00,5,82,804.65
2026-08-19 21:41:06.804167+00:00,5,83,992.89
2026-08-19 21:41:06.804167+00:00,5,85,499.27
2026-08-19 21:41:06.804167+00:00,5,86,1321.47
2026-08-19 21:41:06.804167+00:00,5,87,1172.59
2026-08-19 21:41:06.804167+00:00,6,2,1161.55
2026-08-19 21:41:06.804167+00:00,6,3,515.31
2026-08-19 21:41:06.804167+00:00,6,4,773.93
2026-08-19 21:41:06.804167+00:00,6,5,1883.3
2026-08-19 21:41:06.804167+00:00,6,6,0.0
2026-08-19 21:41:06.804167+00:00,6,7,682.05
2026-08-19 21:41:06.804167+00:00,6,8,809.95
2026-08-19 21:41:06.804167+00:00,6,9,1529.4
2026-08-19 21:41:06.804167+00:00,6,12,1113.79
2026-08-19 21:41:06.804167+00:00,6,13,1075.21
2026-08-19 21:41:06.804167+00:00,6,14,1944.32
2026-08-19 21:41:06.804167+00:00,6,17,1406.64
2026-08-19 21:41:06.804167+00:00,6,21,900.56
2026-08-19 21:41:06.804167+00:00,6,22,1009.92
2026-08-19 21:41:06.804167+00:00,6,24,594.48
2026-08-19 21:41:06.804167+00:00,6,25,1593.08
2026-08-19 21:41:06.804167+00:00,6,26,818.55
2026-08-19 21:41:06.804167+00:00,6,27,1001.67
2026-08-19 21:41:06.804167+00:00,6,29,1658.89
2026-08-19 21:41:06.804167+00:00,6,32,810.07
2026-08-19 21:41:06.804167+00:00,6,33,1204.02
